Model_Num,Table_Name,Column_Name,Query_Type,Range_Min,Range_Max,Result Set Returned,Min_Execution_Time,Max_Execution_Time,Med_Execution_Time,Std_Deviation_Exe_Time,Avg_Execution_Time
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3139548.0,3439548.0,75000,0.5279715061187744,0.6208372116088867,0.5993854999542236,0.032290392421101925,0.5893754482269287
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,4036443.0,4336443.0,75000,0.552170991897583,0.6411514282226562,0.5711238384246826,0.03304605215008401,0.5887538909912109
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1658158.0,1958158.0,75000,0.5433962345123291,0.592947244644165,0.560110330581665,0.016512110284228602,0.5624294757843018
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2911718.0,3211718.0,75001,0.5396237373352051,0.5968055725097656,0.5691132545471191,0.01851977567276664,0.566862964630127
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,5089798.0,5389798.0,75001,0.579660177230835,0.6209959983825684,0.5943145751953125,0.016574226824535562,0.6013922691345215
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,5108871.0,5408871.0,75001,0.5263028144836426,0.604539155960083,0.5600094795227051,0.02535802856864691,0.562624454498291
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,715837.0,1015837.0,75000,0.5215296745300293,0.557692289352417,0.5539610385894775,0.014655176926414376,0.5442283630371094
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1181285.0,1481285.0,75001,0.5470359325408936,0.5829977989196777,0.5652115345001221,0.012323672289552168,0.5672415256500244
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,293364.0,593364.0,75000,0.48713016510009766,0.5366618633270264,0.5262529850006104,0.018823947895125426,0.5166404724121094
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2512617.0,2812617.0,75000,0.5016293525695801,0.5672180652618408,0.5269250869750977,0.02120165976773519,0.529964828491211
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,170295.0,470295.0,75000,0.48175978660583496,0.5499234199523926,0.5036666393280029,0.02490739419435041,0.5137668132781983
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2603950.0,2903950.0,75000,0.446530818939209,0.5013024806976318,0.49866628646850586,0.021469277872253518,0.4843301296234131
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3700121.0,4000121.0,75000,0.49044251441955566,0.5800642967224121,0.5212602615356445,0.03235652579362042,0.5298416137695312
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1587378.0,1887378.0,75000,0.4639749526977539,0.5693554878234863,0.4737708568572998,0.03960404280105523,0.49457345008850095
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3854653.0,4154653.0,75000,0.46251606941223145,0.5204737186431885,0.4785420894622803,0.02299742483347179,0.48801307678222655
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3367918.0,3667918.0,75000,0.4916393756866455,0.5454084873199463,0.5201895236968994,0.018316473033921317,0.5185307502746582
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,136698.0,436698.0,75000,0.42359447479248047,0.614109992980957,0.49361753463745117,0.06180413338360859,0.5068266868591309
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3185469.0,3485469.0,75000,0.4828948974609375,0.517742395401001,0.4969766139984131,0.014687737976483607,0.4999062538146973
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1477740.0,1777740.0,75000,0.4102299213409424,0.5191404819488525,0.4701347351074219,0.036573412836639216,0.47147884368896487
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2366077.0,2666077.0,75000,0.458585262298584,0.5066885948181152,0.48630714416503906,0.015460591468701068,0.48357625007629396
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1616094.0,1916094.0,75000,0.4169433116912842,0.484177827835083,0.4723236560821533,0.024003858166513736,0.4627901554107666
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3950886.0,4250886.0,75001,0.46039462089538574,0.510019063949585,0.4781041145324707,0.016624697118798607,0.482941198348999
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2510587.0,2810587.0,75000,0.4385685920715332,0.49694252014160156,0.44020771980285645,0.02254575459801215,0.4551384925842285
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,894147.0,1194147.0,75001,0.4024507999420166,0.5589022636413574,0.497100830078125,0.05092029011876572,0.48418726921081545
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3104500.0,3404500.0,75000,0.43604326248168945,0.5026774406433105,0.4744911193847656,0.028021593605670688,0.4694624423980713
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,4447794.0,4747794.0,75000,0.4260900020599365,0.515052318572998,0.4732043743133545,0.030531892289969543,0.4694386005401611
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1746273.0,2046273.0,75001,0.41643381118774414,0.4950704574584961,0.4707939624786377,0.025808413073264123,0.4638201236724854
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1265161.0,1565161.0,75000,0.4367363452911377,0.4824955463409424,0.46723365783691406,0.016383684073434684,0.46492295265197753
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2211437.0,2511437.0,75000,0.430802583694458,0.5088250637054443,0.47608065605163574,0.026185141413952836,0.4755576133728027
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,5337387.0,5637387.0,75000,0.43102240562438965,0.5353407859802246,0.4760468006134033,0.03435048712674659,0.4779030799865723
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,5563174.0,5863174.0,75001,0.4676835536956787,0.5151066780090332,0.4968445301055908,0.02050367268448718,0.49299187660217286
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3832587.0,4132587.0,75000,0.42246270179748535,0.5273947715759277,0.4629085063934326,0.03798736132205556,0.4631229877471924
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,5146155.0,5446155.0,75000,0.3678624629974365,0.521122932434082,0.5118460655212402,0.05985427037922372,0.472853422164917
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,4820780.0,5120780.0,75000,0.4401254653930664,0.5031270980834961,0.4509744644165039,0.022869525489661726,0.4583216667175293
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2154567.0,2454567.0,75001,0.4202890396118164,0.5235822200775146,0.48467254638671875,0.034638398697825944,0.47783517837524414
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,525638.0,825638.0,75001,0.3845939636230469,0.5108621120452881,0.48889827728271484,0.046459722243021896,0.47473487854003904
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3724442.0,4024442.0,75000,0.45107102394104004,0.5048868656158447,0.49109768867492676,0.019111839927552863,0.48541598320007323
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3179693.0,3479693.0,75000,0.44216465950012207,0.505936861038208,0.49095630645751953,0.02323308598410794,0.48682327270507814
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2060920.0,2360920.0,75000,0.44158291816711426,0.4888570308685303,0.4613959789276123,0.0159733572565689,0.46350998878479005
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1282811.0,1582811.0,75000,0.45597338676452637,0.49747252464294434,0.47292613983154297,0.015070321333065054,0.47130842208862306
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2317164.0,2617164.0,75000,0.4845104217529297,0.5414876937866211,0.501640796661377,0.019366651286750476,0.5060329437255859
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2672960.0,2972960.0,75001,0.42200589179992676,0.5185127258300781,0.5000944137573242,0.03632497580401099,0.48027911186218264
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1534644.0,1834644.0,75000,0.47635650634765625,0.5168328285217285,0.4954988956451416,0.014274262681642788,0.49886355400085447
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1663220.0,1963220.0,75000,0.3932688236236572,0.4776289463043213,0.4717419147491455,0.031673185709751375,0.4548348903656006
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2608813.0,2908813.0,75000,0.4301738739013672,0.550922155380249,0.5052316188812256,0.04006384890892662,0.4943363666534424
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,4905043.0,5205043.0,75000,0.385545015335083,0.5772318840026855,0.47614598274230957,0.0643342649778579,0.4824735164642334
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,3341642.0,3641642.0,75000,0.48589015007019043,0.5488789081573486,0.5019385814666748,0.02171779874397039,0.5084845542907714
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1615882.0,1915882.0,75000,0.45307326316833496,0.517249345779419,0.48020029067993164,0.023265473230902705,0.4860995292663574
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,1584473.0,1884473.0,75000,0.4699828624725342,0.5255637168884277,0.48313045501708984,0.020743647849588865,0.49080944061279297
Model_RANGE_o_orderkey,order_table,o_orderkey,RANGE,2591346.0,2891346.0,75000,0.4425697326660156,0.507349967956543,0.4693112373352051,0.023071647309257395,0.46912541389465334
Model_RANGE_l_orderkey,lineitem_table,l_orderkey,RANGE,1170840.0,1470840.0,300250,4.3400490283966064,4.6394853591918945,4.556227445602417,0.10342475784608103,4.53341121673584
Model_RANGE_l_orderkey,lineitem_table,l_orderkey,RANGE,1147859.0,1447859.0,300359,4.2786781787872314,4.710506439208984,4.338605165481567,0.1584651725286313,4.404879903793335
Model_RANGE_l_orderkey,lineitem_table,l_orderkey,RANGE,2930000.0,3230000.0,300220,4.234210729598999,4.662170171737671,4.305316209793091,0.15185467323301552,4.37934308052063
